,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,recon_error,vae_anomaly,latent_velocity,latent_acceleration,crisis_distance
2008-02-13,-0.14245512,0.3130889,-0.28096998,-0.41659775,-0.019000597,1.0563827,-2.1205642,-0.2733425,0.5895709,0.673559,0.0,,1.8212329
2008-02-14,-0.12866451,0.25255886,-0.28152898,-0.39354405,0.0028095022,1.1009654,-2.1766071,-0.3045837,0.60604,0.6914318,0.10471854,0.10471854,1.8804097
2008-02-15,-0.10652892,0.32622796,-0.23557304,-0.4185529,-0.041608244,0.9657868,-2.004405,-0.28026843,0.6279773,0.7096711,0.24319845,0.13847992,1.6926311
2008-02-19,-0.09379606,0.2643151,-0.26653796,-0.373474,-0.016151786,1.0306237,-2.0823843,-0.30248198,0.630404,0.71355754,0.13569205,-0.10750641,1.7647114
2008-02-20,-0.090006754,0.34293014,-0.21561904,-0.39427182,-0.022873968,0.9124146,-1.9382524,-0.28737462,0.6366864,0.71743965,0.21033491,0.07464287,1.6131433
2008-02-21,-0.07781063,0.26867896,-0.26319236,-0.36717683,0.0033702776,0.978624,-2.0226696,-0.31842595,0.64316994,0.72543955,0.14772344,-0.062611476,1.69151
2008-02-22,-0.06570749,0.34137,-0.20708229,-0.39534664,-0.027863257,0.8655772,-1.8671831,-0.30519494,0.6650371,0.7447926,0.21789573,0.070172295,1.53803
2008-02-25,-0.052442566,0.35419923,-0.1834195,-0.39922357,-0.023118518,0.79971373,-1.7903893,-0.32119766,0.6923219,0.7710899,0.10690833,-0.1109874,1.4586611
2008-02-26,-0.031224623,0.35629243,-0.16783078,-0.3755753,-0.03658559,0.7163569,-1.6762117,-0.32409796,0.72708553,0.8035913,0.14639498,0.039486654,1.3316534
2008-02-27,-0.0068226904,0.34158927,-0.18853898,-0.3714839,-0.049753316,0.6781684,-1.6338547,-0.32394725,0.7552463,0.8313038,0.0684331,-0.077961884,1.2739825
2008-02-28,-0.0048492104,0.32156932,-0.22688279,-0.36986873,-0.04885889,0.71104485,-1.6614871,-0.3402883,0.77190346,0.84883475,0.063164756,-0.005268343,1.2966921
2008-02-29,-0.013768092,0.22721544,-0.3332922,-0.34746394,0.0077908486,0.88559264,-1.9325852,-0.39026704,0.7803969,0.8624465,0.3612137,0.29804897,1.5618576
