,trans_0,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,trans_8,trans_9,trans_10,trans_11,trans_12,trans_13,trans_14,trans_15,trans_16,trans_17,trans_18,trans_19,trans_20,trans_21,trans_22,trans_23,trans_24,trans_25,trans_26,trans_27,trans_28,trans_29,trans_30,trans_31
2008-03-28,-0.767884,-0.68127835,0.0042131767,-0.13670601,-0.0323535,-0.59175926,-0.21612304,0.004015643,0.45406926,0.5463075,-0.75036824,-0.9987363,-0.10452385,-0.1990178,-0.793497,1.3554584,0.5994509,-0.38238433,-0.82107866,-0.044923656,0.73869145,0.5749373,0.49654078,-0.70928353,0.22288612,-0.35180417,-0.66125315,0.49695224,-0.07236713,-0.5013794,-0.43060413,-1.1730005
2008-03-31,-0.8536773,-0.57763374,-0.0017349124,0.030849725,-0.10154329,-0.6952136,-0.28359184,-0.014299426,0.3610702,0.51151156,-0.751832,-1.2716603,-0.2396657,-0.1933266,-0.7396489,1.3269973,0.3215806,-0.5778854,-0.6821513,0.026657932,0.7685208,0.67972654,0.5198963,-0.7737861,0.33292255,-0.44109276,-0.68252397,0.68025625,0.010302115,-0.6066445,-0.46521696,-1.1748192
2008-04-01,-0.6029473,-0.45936677,-0.85724735,0.24288762,0.1650276,-0.97991127,0.053974476,-0.023525055,0.13855219,0.86209244,-0.83749044,-0.5888958,-0.029001765,-0.19901004,-0.7587406,1.4443036,-0.15422226,-0.7485095,-0.46372673,-0.15692604,0.5807309,0.28216428,-0.15192968,-0.14736578,0.26853693,-0.3080502,-0.43116337,0.07201573,-0.07077841,0.18096553,-0.5796903,-0.11933591
2008-04-02,-1.0446954,-0.8634527,-0.3247071,0.12499128,-0.13310404,-0.70748323,-0.24474522,0.04249521,0.38522705,0.60781807,-0.27867153,-0.65867364,0.020048626,-0.26465732,-0.8119159,1.6965369,0.41541374,-0.28841954,-0.7253187,-0.009559371,0.78142023,0.41244408,0.3341649,-0.29522425,0.4092421,-0.24756381,-0.7948179,0.31211728,0.28275585,-0.31096804,-0.72371435,-0.6386725
2008-04-03,-0.9190029,-0.94167215,-0.21343535,0.1703842,0.01885921,-0.6886858,-0.200538,-0.14176787,0.44132066,0.636554,-0.29784617,-0.5450791,-0.0840064,-0.22360529,-0.7365172,1.5448188,0.464687,-0.39904395,-0.76028097,0.023872852,0.92044955,0.36033747,0.32307827,-0.21487649,0.3662489,-0.39120877,-0.78027785,0.32653406,0.300283,-0.3342126,-0.6259048,-0.67428803
2008-04-04,-0.89923507,-0.9268671,-0.19760296,0.17268881,0.06511211,-0.62193745,-0.2105932,-0.20110478,0.4759311,0.59675014,-0.30366495,-0.46360016,-0.08937423,-0.17279753,-0.79415953,1.5646642,0.46019363,-0.43108305,-0.82965803,0.016304322,0.956934,0.26886997,0.30334565,-0.12955657,0.33115464,-0.39865604,-0.76318294,0.30156294,0.2846799,-0.3636523,-0.62809217,-0.68158937
2008-04-07,-0.9135257,-0.8784304,-0.2210496,0.11348568,0.038243495,-0.61185366,-0.20728976,-0.2016367,0.4670558,0.5905911,-0.32229516,-0.4567811,-0.11214413,-0.15352015,-0.79511636,1.6150178,0.43425214,-0.43555343,-0.84671664,0.028883222,0.9346653,0.31064865,0.30558923,-0.14790043,0.31486744,-0.39968446,-0.787418,0.3366289,0.2452811,-0.43155855,-0.60196114,-0.705801
2008-04-08,-0.91028255,-0.67099947,0.026656445,0.37112644,0.040755536,-0.7461522,-0.30458108,-0.6033979,0.4579245,0.5411656,-0.70923436,-0.5096138,-0.22264501,-0.21507733,-0.63731354,1.2086694,0.6757298,-0.40651724,-0.97500026,-0.032148972,1.0995219,0.47784576,0.09713652,-0.15473883,0.16149378,-0.54793894,-0.6202229,0.51808155,0.23038818,-0.40270978,-0.6456237,-1.0001137
2008-04-09,-0.8351868,-0.65000904,-0.04134275,0.39403954,-0.05446768,-0.82346314,-0.26945218,-0.5807473,0.3578181,0.49621254,-0.78345644,-0.5114141,-0.095276885,-0.24148904,-0.5816486,1.2942652,0.65964633,-0.40872562,-1.0595614,-0.079519495,1.0452923,0.5424351,-0.037028614,-0.13923112,0.121396855,-0.50763416,-0.5576399,0.39422548,0.14281312,-0.29940194,-0.6037864,-0.973814
2008-04-10,-0.77646756,-0.65607965,-0.01633326,0.45455468,0.046416033,-0.8870543,-0.35976544,-0.6431498,0.36067906,0.5524606,-0.69069856,-0.34961116,-0.16622126,-0.37330067,-0.64895874,1.174298,0.5540388,-0.5105694,-0.96381617,-0.068435445,1.0560726,0.4217894,-0.0074427947,-0.060488,0.15217656,-0.5055772,-0.4326085,0.33867806,0.27522898,-0.23710541,-0.6792608,-0.8353424
